Name,PA,k_percent,bb_percent,woba,barrel_batted_rate,hard_hit_percent,whiff_percent,swing_percent,pitch_hand,n_fastball,n_breaking,n_offspeed
"Crochet, Garrett",595,35.1,5.5,0.280,9.2,38.8,33.1,53.2,L,84.3,9.8,5.9
"Cecconi, Slade",338,18.9,5,0.366,10.3,36.4,19.6,49,R,54.9,32.9,12.2
"Weathers, Ryan",367,21.8,6.5,0.303,8.3,38.2,26.1,46.4,L,51.8,22.2,26
"Bellozo, Valente",295,14.9,7.1,0.338,11,42.1,19.5,45.4,R,62.7,22.9,14.4
"Bello, Brayan",702,21.8,9.1,0.319,7.4,41.1,25.9,46.3,R,45,28,26.9
"Marsh, Alec",548,22.4,7.1,0.325,9.6,40.9,23.5,47.6,R,50.8,39.2,10
"Martinez, Justin",308,29.5,11.7,0.269,2.8,31.8,34.5,47.5,R,56.6,21.6,21.8
"Rodriguez, Grayson",491,26.5,7.3,0.310,7.8,39.7,30,50.2,R,47.7,31.3,21
"Woods Richardson, Simeon",569,20.6,8.4,0.305,8.2,36.2,22.3,49.8,R,40.3,40.5,19.3
"Parker, Mitchell",646,20.6,6.7,0.311,8.1,38.9,22.3,51.4,L,48.6,32.4,19.1
"Vodnik, Victor",320,20.3,11.6,0.322,7.8,49.3,21.8,44.1,R,63.3,20.1,16.6
"Schwellenbach, Spencer",500,25.4,4.6,0.286,4.9,39.8,27.4,53.1,R,52.7,34.4,12.8
"Vásquez, Randy",431,14.4,6.7,0.360,8.7,39.6,18.9,49.7,R,57.9,29.7,12.4
"Arrighetti, Spencer",632,27.1,10.3,0.332,7.7,39.8,27.7,47.2,R,60.6,30.8,8.6
"Fernandez, Ryan",285,24.9,11.2,0.291,7.2,33.9,31.5,47.9,R,51.8,48.2,0
"Olson, Reese",465,21.7,7.1,0.282,5.5,43.7,28.7,47.3,R,43.9,33.8,22.3
"Criswell, Cooper",424,17.2,7.3,0.327,7,37.4,17.2,44.6,R,45.1,28.8,26.1
"Vesia, Alex",263,33.1,12.5,0.246,12.1,35,31.3,47.5,L,63.2,31.7,5.1
"Herrin, Tim",257,26.5,9.7,0.236,6.9,36.5,29.3,47,L,37.1,62.9,0
"Miller, Bryce",704,24.3,6.4,0.260,9.7,41.2,24.4,48.9,R,61.7,21.3,17.1
"Muñoz, Roddery",379,18.5,11.1,0.393,13.7,45,23.6,45.7,R,70.9,19.8,9.3
"Ortiz, Luis",556,19.2,7.6,0.287,8.8,37.7,21,48.1,R,72.2,26.8,0.9
"Jones, Jared",504,26.2,7.7,0.314,9.8,44.5,30.2,51.6,R,49.3,44.1,6.6
"Estes, Joey",543,16.9,5,0.333,9.7,39.6,19.2,55.5,R,55.7,33.2,11.1
"Mears, Nick",256,29.3,9.4,0.324,7,33.1,28.5,49.5,R,60.2,39.8,0
"Molina, Anthony",264,15.5,8.3,0.349,8,45.7,18.8,47.7,R,48.3,29.3,22.4
"Gaddis, Hunter",278,23.7,5,0.220,5.7,36.6,25,51.6,R,38.3,44.8,16.8
"Imanaga, Shota",694,25.1,4,0.279,8.6,39.3,28.3,55.7,L,54.6,11,34.5
"Rodriguez, Yariel",368,23.1,10.9,0.312,6.3,37.2,25.7,45.4,R,51.7,38.7,9.6
"Cronin, Declan",307,23.5,8.5,0.308,4.9,41.7,26.6,47.3,R,47.8,52.2,0
"Cannon, Jonathan",522,17.4,7.7,0.332,7.3,36.3,21.8,47.1,R,59.5,21.8,18.7
"Brown, Hunter",712,25.1,8.4,0.296,4.5,30.3,25.1,46.3,R,69.6,17.8,12.6
"Spiers, Carson",410,19.5,6.6,0.379,10.4,38.9,21.4,48,R,63.4,24.5,12.1
"Pepiot, Ryan",539,26.3,8.9,0.290,9.1,37.2,29.9,48,R,56.6,20,23.5
"Kochanowicz, Jack",266,9.4,3.8,0.323,6.3,44.4,15.2,53.7,R,78.6,18.4,3
"Jarvis, Bryce",258,14.7,12.8,0.314,7.1,40.1,21.8,48.4,R,62,24.4,13.6
"Kelly, Kevin",278,22.7,3.2,0.268,5,37,20.1,44.8,R,72.2,27.8,0
"Spence, Mitch",651,19.4,6.8,0.340,8.4,41.7,22.5,50.6,R,54.2,44.7,1.1
"Herz, DJ",382,27.7,9.4,0.294,8.1,34.7,29.3,48.9,L,54.2,21.2,24.5
"Knack, Landon",286,24.1,6.3,0.304,10.2,43.9,23.1,46,R,46.3,39.2,14.5
"Kerkering, Orion",257,28.8,6.6,0.271,5.1,33.5,27.8,45.4,R,44.3,55.7,0
"Brieske, Beau",282,24.5,10.6,0.291,5.5,35.9,23.9,48.6,R,56.3,17.3,26.5
"Harrison, Kyle",532,22.2,7.9,0.330,10.1,44.1,23.6,46.2,L,57.7,22.6,19.7
"Woo, Bryan",472,21.4,2.8,0.249,4.8,35.2,23.6,53.3,R,71.9,18.6,9.4
"Pfaadt, Brandon",760,24.3,5.5,0.312,8.1,39.4,25.4,49.3,R,55.6,32.6,11.8
"Shuster, Jared",321,17.4,10.3,0.324,7.3,31.9,23.4,47.3,L,42.2,28.4,29.4
"Stone, Gavin",580,20,6.4,0.304,6.4,36.2,24.7,50.5,R,52.6,20.7,26.6
